DepMap_ID,venetoclax_AUC,cell_line_name
ACH-000323,15.172,42MGBA
ACH-000896,15.126,647V
ACH-000070,3.19,697
ACH-000649,14.608,786O
ACH-000137,15,8MGBA
ACH-000008,15,A101D
ACH-000558,13.119,A172
ACH-000201,12.257,A204
ACH-000788,16.692,A2058
ACH-000740,12.711,A253
ACH-000657,12.423,A2780
ACH-000219,14.998,A375
ACH-000681,13.2415,A549
ACH-000046,15.282,ACHN
ACH-000269,6.1826,AM38
ACH-000557,9.7594,AML193
ACH-000838,15.27,AMO1
ACH-000940,13.438,AN3CA
ACH-000222,14.938,ASPC1
ACH-000248,14.488,AU565
ACH-000593,13.252,BC3C
ACH-001016,14.26,BECKER
ACH-000503,15,BICR16
ACH-000992,14.974,BICR18
ACH-000794,13.896,BICR22
ACH-000228,13.789,BICR31
ACH-000771,15.724,BICR56
ACH-000415,14.345,BICR6
ACH-000288,14.52,BT549
ACH-000432,7.1424,BV173
ACH-000009,14.815,C2BBE1
ACH-000580,13.069,C32
ACH-000433,14.809,CAKI1
ACH-000234,14.638,CAKI2
ACH-000832,15.428,CAL27
ACH-000518,16.876,CAL33
ACH-000856,14.627,CAL51
ACH-000457,13.91,CAL54
ACH-000516,13.087,CAL78
ACH-000857,13.853,CAL851
ACH-000511,15,CALU1
ACH-000264,15.802,CALU6
ACH-000713,15.473,CAOV3
ACH-000354,16.025,CAPAN1
ACH-000107,15.036,CAPAN2
ACH-000329,14.3845,CCFSTTG1
ACH-000963,16.171,CCK81
ACH-000136,5.9137,CHP126
ACH-000687,13.93,CI1
ACH-000249,15,CL11
ACH-000641,14.245,CMK
ACH-000253,15.113,COLO201
ACH-000202,14.022,COLO320
ACH-000803,12.988,COLO668
ACH-000350,13.476,COLO678
ACH-000968,13.064,COLO792
ACH-000401,15.088,COLO800
ACH-000644,14.654,COLO829
ACH-000161,14.74,CORL105
ACH-000278,8.4171,COV362
ACH-000608,12.428,COV644
ACH-000998,14.803,CW2
ACH-000243,16.128,DANG
ACH-000863,14.899,DBTRG05MG
ACH-000244,13.143,DKMG
ACH-000530,15.017,DMS114
ACH-000749,14.929,DMS273
ACH-000844,11.347,DMS454
ACH-000698,6.9954,DMS53
ACH-000979,14.066,DU145
ACH-000563,15,EBC1
ACH-000560,8.5441,ECC10
ACH-000435,13.785,EFE184
ACH-000308,14.851,EFO21
ACH-000936,14.45,EFO27
ACH-000821,11.843,EJM
ACH-000978,15.027,EN
ACH-000198,0.6042,EOL1
ACH-000585,13.548,EPLC272H
ACH-000913,14.913,ESS1
ACH-000487,15.066,F36P
ACH-000846,12.594,FADU
ACH-000903,12.755,FTC133
ACH-000897,15.707,FTC238
ACH-000633,15.386,FU97
ACH-000574,14.832,FUOV1
ACH-000082,14.082,G292CLONEA141B1
ACH-000572,14.684,G361
ACH-000375,14.637,G402
ACH-000098,14.764,GAMG
ACH-000835,13.603,GCT
ACH-000081,11.776,GDM1
ACH-000756,13.611,GI1
ACH-000102,15.292,GMS10
ACH-000027,14.991,GOS3
ACH-000073,2.9507,GRANTA519
ACH-000374,15.55,HCC1143
ACH-000868,15.504,HCC1195
ACH-000277,13.705,HCC1419
ACH-000352,13.073,HCC1428
ACH-000891,15.205,HCC1438
ACH-000349,4.4698,HCC1500
ACH-000725,14.841,HCC202
ACH-000150,13.501,HCC2935
ACH-000276,14.913,HCC38
ACH-000467,7.9924,HCC56
ACH-000997,15.106,HCT15
ACH-001084,15,HCT8
ACH-000972,13.038,HEC151
ACH-000954,13.557,HEC1A
ACH-000831,14.614,HEC50B
ACH-000739,15,HEPG2
ACH-000542,15,HEYA8
ACH-000847,11.707,HGC27
ACH-000393,14.486,HLF
ACH-000931,15.53,HMCB
ACH-000613,14.714,HOS
ACH-000270,15,HPAC
ACH-000942,13.353,HPBALL
ACH-000014,14.631,HS294T
ACH-000616,13.629,HS746T
ACH-000178,17.267,HS766T
ACH-000274,14.429,HS852T
ACH-000801,15.156,HS936T
ACH-000632,12.989,HS944T
ACH-000472,11.49,HSC2
ACH-000546,12.302,HSC4
ACH-000547,12.025,HT1197
ACH-000724,15.217,HT1376
ACH-000322,13.539,HT144
ACH-000926,16.499,HT55
ACH-000475,15,HUH1
ACH-000671,15.015,HUH6
ACH-000118,13.62,HUPT3
ACH-000213,15.437,HUPT4
ACH-000509,13.954,HUT78
ACH-000672,15,IALM
ACH-000882,13.036,IGR1
ACH-000650,13.865,IGR37
ACH-000550,15.504,IGR39
ACH-000966,15.143,IGROV1
ACH-000919,12.222,IM95
ACH-000915,15.597,IPC298
ACH-000569,15.104,ISTMES1
ACH-000396,13.465,J82
ACH-000357,13.449,JEKO1
ACH-000620,14.284,JHH1
ACH-000577,11.804,JHH2
ACH-000476,14.402,JHH4
ACH-000217,15.181,JHH6
ACH-000237,14.296,JHOM1
ACH-000132,14.855,JHOS2
ACH-000173,14.228,JHUEM3
ACH-000653,13.252,JJN3
ACH-000241,15.333,JK1
ACH-000645,15,JL1
ACH-000151,5.0146,JM1
ACH-000404,14.694,K029AX
ACH-000231,14.363,KALS1
ACH-000053,14.62,KARPAS299
ACH-000315,12.091,KARPAS422
ACH-000193,13.563,KARPAS620
ACH-000263,2.8659,KASUMI1
ACH-000728,1.9451,KASUMI2
ACH-000793,15.567,KATOIII
ACH-000507,12.793,KE39
ACH-000259,13.28,KELLY
ACH-000126,14.749,KG1C
ACH-000969,15,KM12
ACH-000862,12.556,KMBC2
ACH-000684,14.421,KMRC1
ACH-000709,14.14,KMRC2
ACH-000313,13.086,KMRC3
ACH-000714,11.29,KMS11
ACH-000658,12.532,KMS18
ACH-000426,11.33,KMS20
ACH-000419,11.144,KMS28BM
ACH-000541,11.883,KMS34
ACH-000622,13.862,KNS42
ACH-000445,12.711,KNS60
ACH-000858,14.504,KNS62
ACH-000479,16.229,KNS81
ACH-000498,2.3331,KO52
ACH-000281,14.618,KP2
ACH-000446,15.292,KPNSI9S
ACH-000227,13.656,KPNYN
ACH-000607,13.858,KYM1
ACH-000604,13.999,KYO1
ACH-000855,15,KYSE150
ACH-000777,15.677,KYSE30
ACH-000809,13.459,KYSE410
ACH-000865,14.245,KYSE450
ACH-000824,14.456,KYSE510
ACH-000637,14.86,KYSE520
ACH-000784,15,KYSE70
ACH-000685,15.594,L33
ACH-000183,15.19,L363
ACH-000754,13.396,L428
ACH-000806,8.7938,L540
ACH-001113,15.286,LC1SQSF
ACH-000596,15,LCLC97TM1
ACH-000255,13.768,LMSU
ACH-000176,12.919,LOUNH91
ACH-000950,15,LOVO
ACH-000750,14.8445,LOXIMVI
ACH-000204,13.792,LP1
ACH-000252,15,LS1034
ACH-000501,14.756,LS123
ACH-000438,12.019,LU65
ACH-000390,13.322,LUDLU1
ACH-000787,14.957,LXF289
ACH-000152,14.63,M059K
ACH-000602,12.329,M07E
ACH-000583,14.629,MC116
ACH-000796,15.723,MCAS
ACH-000621,15.503,MDAMB157
ACH-000768,14.519,MDAMB231
ACH-000934,15.37,MDAMB361
ACH-000876,13.332,MDAMB415
ACH-000884,15.872,MDAMB435S
ACH-000910,14.564,MDAMB453
ACH-000849,14.691,MDAMB468
ACH-000935,14.313,MDST8
ACH-000439,7.6064,ME1
ACH-000881,14.827,MELJUSO
ACH-000449,13.608,MESSA
ACH-000879,15.347,MFE296
ACH-000988,14.611,MFE319
ACH-000359,12.627,MG63
ACH-000032,8.6893,MHHCALL3
ACH-000156,7.0237,MHHCALL4
ACH-000758,14.724,MKN74
ACH-000678,14.397,MKN7
ACH-000058,14.382,ML1
ACH-000763,15.907,MM1S
ACH-000369,13.422,MOLM16
ACH-000321,6.9941,MOLM6
ACH-000453,13.582,MOLP2
ACH-000745,14.787,MOLP8
ACH-000795,12.148,MOLT13
ACH-000918,5.4357,MOLT16
ACH-001129,13.925,MONOMAC1
ACH-000006,10.178,MONOMAC6
ACH-001130,13.03,MOTN1
ACH-000319,15.366,MPP89
ACH-000335,15.253,MSTO211H
ACH-000804,14.066,NB1
ACH-000294,13.202,NB4
ACH-000780,6.251,NCIH1105
ACH-000523,14.138,NCIH1184
ACH-000921,14.792,NCIH1339
ACH-000666,14.465,NCIH1355
ACH-000845,14.677,NCIH1373
ACH-000327,13.495,NCIH1395
ACH-000892,13.716,NCIH1563
ACH-000916,12.601,NCIH1573
ACH-000744,13.79,NCIH1623
ACH-000035,14.75,NCIH1650
ACH-000893,14.897,NCIH1651
ACH-000448,12.681,NCIH1666
ACH-000282,14.751,NCIH1755
ACH-000496,14.769,NCIH1792
ACH-000888,11.68,NCIH1793
ACH-000894,15.546,NCIH1869
ACH-000434,12.909,NCIH1915
ACH-000414,9.3865,NCIH1944
ACH-000781,15,NCIH2023
ACH-000153,14.364,NCIH2052
ACH-000394,12.333,NCIH2081
ACH-000451,15.477,NCIH2085
ACH-000841,11.734,NCIH2087
ACH-000929,13.715,NCIH2110
ACH-000311,15,NCIH2122
ACH-000785,15,NCIH2126
ACH-001138,5.5173,NCIH2141
ACH-000481,13.039,NCIH2170
ACH-000924,14.857,NCIH2172
ACH-000447,12.956,NCIH2228
ACH-000367,16.419,NCIH226
ACH-000912,14.386,NCIH2286
ACH-000951,14.683,NCIH2342
ACH-000186,13.022,NCIH2444
ACH-000092,14.715,NCIH2452
ACH-000837,14.888,NCIH322
ACH-000638,14.554,NCIH441
ACH-000800,13.226,NCIH446
ACH-000463,15,NCIH460
ACH-000360,15.299,NCIH508
ACH-000871,7.4614,NCIH510
ACH-000395,14.747,NCIH520
ACH-000343,12.563,NCIH522
ACH-000816,12.716,NCIH524
ACH-000177,5.9165,NCIH660
ACH-000853,14.636,NCIH661
ACH-000491,15.263,NCIH716
ACH-000403,11.565,NCIH747
ACH-000292,13.341,NCIH841
ACH-000297,2.7012,NCIH889
ACH-000168,14.323,NOMO1
ACH-000388,1.5524,NUDHL1
ACH-000287,3.1846,NUDUL1
ACH-000911,14.808,NUGC3
ACH-000116,14.5385,OAW28
ACH-000704,12.056,OAW42
ACH-000962,12.659,OC314
ACH-000065,15.019,OCIAML5
ACH-001146,10.023,OCILY10
ACH-000124,3.4514,OCILY19
ACH-000158,4.8975,OCILY3
ACH-000751,13.584,OCIM1
ACH-000247,12.246,OCUM1
ACH-000679,14.896,OE19
ACH-000383,13.83,OE33
ACH-000091,15.733,OV56
ACH-000688,12.49,OV7
ACH-000291,14.711,OV90
ACH-000617,15,OVCAR4
ACH-000696,15.428,OVCAR8
ACH-000947,15.96,OVK18
ACH-000707,15,P3HR1
ACH-000042,15,PANC0203
ACH-000139,14.213,PANC0327
ACH-000235,13.984,PANC0403
ACH-000093,16.17,PANC0504
ACH-000417,14.947,PANC0813
ACH-000060,15,PANC1005
ACH-000164,15,PANC1
ACH-000599,15,PATU8902
ACH-000023,16.773,PATU8988T
ACH-000030,16.482,PC14
ACH-000090,14.513,PC3
ACH-000606,12.982,PECAPJ34CLONEC12
ACH-000732,13.637,PECAPJ41CLONED2
ACH-000307,14.994,PK1
ACH-000468,15.088,PK45H
ACH-000205,15.405,PK59
ACH-000218,12.345,PL21
ACH-001318,13.544,PLCPRF5
ACH-000320,13.859,PSN1
ACH-000654,14.525,RAJI
ACH-000189,15.224,RCC10RGB
ACH-000922,10.858,RCHACV
ACH-000565,15,RCM1
ACH-000169,13.106,RD
ACH-000068,14.789,REC1
ACH-000960,12.771,REH
ACH-000774,14.195,RERFLCAD2
ACH-000062,14.551,RERFLCMS
ACH-000689,9.984,RH18
ACH-000833,14.56,RH30
ACH-000398,2.1242,RI1
ACH-000505,15,RKN
ACH-000943,15.251,RKO
ACH-000371,3.5868,RL
ACH-000719,16.076,RMGI
ACH-000817,13.969,RPMI8226
ACH-000874,3.9451,RS411
ACH-000473,14.294,RT112
ACH-000242,14.857,RT4
ACH-000614,12.857,RVH421
ACH-000410,12.97,SAOS2
ACH-000839,15.181,SCABER
ACH-000188,14.698,SCC25
ACH-000181,15.127,SCC9
ACH-000782,1.7387,SEM
ACH-000195,13.036,SET2
ACH-000764,14.702,SH10TC
ACH-000441,13.174,SH4
ACH-000748,15.215,SJSA1
ACH-000017,14.998,SKBR3
ACH-000087,12.36,SKES1
ACH-000361,14.359,SKHEP1
ACH-000145,14.425,SKLMS1
ACH-000309,15.67,SKLU1
ACH-000373,14.747,SKM1
ACH-000822,13.849,SKMEL24
ACH-000615,15.999,SKMEL28
ACH-001190,15.316,SKMEL2
ACH-000810,15.947,SKMEL30
ACH-000640,14.609,SKMEL31
ACH-000423,15.649,SKMEL3
ACH-000730,15.452,SKMEL5
ACH-000665,13.866,SKMES1
ACH-000363,3.4863,SKMM2
ACH-000312,12.08,SKNBE2
ACH-000341,16.646,SKNFI
ACH-000039,14.421,SKNMC
ACH-000149,13.916,SKNSH
ACH-000811,15.219,SKOV3
ACH-000939,13.374,SKUT1
ACH-000974,15,SNGM
ACH-000286,17.481,SNU1033
ACH-000932,12.783,SNU1
ACH-000466,15,SNU216
ACH-000478,13.34,SNU387
ACH-000221,14.298,SNU398
ACH-000955,15.321,SNU407
ACH-000517,13.332,SNU410
ACH-000493,13.641,SNU423
ACH-000420,14.525,SNU449
ACH-000422,15.25,SNU475
ACH-000683,13.947,SNU503
ACH-000736,15.063,SNU601
ACH-000532,13.131,SNU61
ACH-000407,15.063,SNU685
ACH-000537,13.161,SNU761
ACH-000280,14.166,SNU840
ACH-000182,13.8,SNU869
ACH-000316,8.5071,SNU886
ACH-000959,15.528,SNUC4
ACH-000970,14.086,SNUC5
ACH-000553,13.185,SQ1
ACH-000338,14.953,SR786
ACH-000114,12.915,SU8686
ACH-000271,15,SUDHL10
ACH-000365,5.5267,SUDHL4
ACH-000611,10.373,SUDHL6
ACH-000656,15.748,SUDHL8
ACH-000059,1.7039,SUPB15
ACH-001203,2.5675,SUPHD1
ACH-000122,15.173,SUPT11
ACH-000953,14.473,SUPT1
ACH-000437,13.585,SW1088
ACH-000489,15,SW1116
ACH-000890,15.247,SW1271
ACH-000236,14.04,SW1417
ACH-000677,12.578,SW1573
ACH-000883,12.395,SW1783
ACH-000155,14.66,SW1990
ACH-000651,15,SW620
ACH-000680,15.087,SW948
ACH-000018,13.401,T24
ACH-000813,12.783,T3M10
ACH-000147,14.482,T47D
ACH-000381,15,T84
ACH-000571,13.304,T98G
ACH-000197,10.887,TALL1
ACH-000502,15,TCCPAN2
ACH-000726,15.868,TE14
ACH-000353,14.322,TE15
ACH-000647,15.588,TE1
ACH-000772,10.692,TE441T
ACH-000917,14.637,TE4
ACH-000605,12.756,TE6
ACH-000452,15.812,TE8
ACH-000146,12.063,THP1
ACH-000592,15.484,TM31
ACH-000285,12.854,TOLEDO
ACH-000459,11.881,TUHR10TKB
ACH-000430,12.2,TYKNU
ACH-000040,13.857,U118MG
ACH-000232,13.769,U251MG
ACH-000626,14.007,U266B1
ACH-000406,11.556,U937
ACH-000579,13.728,UACC257
ACH-000741,13.748,UBLC1
ACH-000522,14.337,UMUC3
ACH-000115,13.342,VCAP
ACH-000484,14.497,VMRCRCW
ACH-000171,13.346,VMRCRCZ
ACH-000661,16.184,WM1799
ACH-001239,12.491,WM2664
ACH-000827,16.157,WM793
ACH-000765,13.041,WM983B
ACH-000332,15.729,YAPC
ACH-000630,14.539,YD8
ACH-000469,15.654,YH13
ACH-000570,15.115,YKG1
ACH-000097,15,ZR751
ACH-000828,14.683,ZR7530